0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
0.0;0.0;0.0;0.0;0.0;-0.075;-0.121;-0.182;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;0.276;0.626;1.054;2.5;2.5;2.5;2.5;2.5;
-0.007;-0.007;-0.01;-0.017;-0.034;-0.076;-0.122;-0.183;-0.273;-0.306;-0.319;-0.321;-0.316;-0.301;-0.27;-0.207;-0.069;0.281;0.633;1.06;1.671;1.901;1.997;2.033;2.033;
-0.012;-0.013;-0.017;-0.027;-0.045;-0.074;-0.111;-0.156;-0.205;-0.234;-0.248;-0.25;-0.24;-0.215;-0.168;-0.084;0.061;0.297;0.575;0.894;1.234;1.447;1.561;1.611;1.611;
-0.015;-0.016;-0.02;-0.03;-0.045;-0.068;-0.096;-0.127;-0.158;-0.179;-0.19;-0.189;-0.177;-0.148;-0.097;-0.015;0.11;0.284;0.492;0.718;0.939;1.104;1.205;1.253;1.253;
-0.016;-0.017;-0.021;-0.029;-0.042;-0.059;-0.079;-0.101;-0.121;-0.136;-0.144;-0.141;-0.127;-0.099;-0.052;0.02;0.121;0.251;0.404;0.565;0.718;0.84;0.921;0.961;0.961;
-0.015;-0.016;-0.02;-0.026;-0.036;-0.049;-0.063;-0.079;-0.093;-0.103;-0.107;-0.104;-0.091;-0.065;-0.025;0.034;0.113;0.211;0.322;0.438;0.546;0.635;0.696;0.728;0.728;
-0.013;-0.014;-0.017;-0.022;-0.03;-0.039;-0.05;-0.061;-0.071;-0.077;-0.08;-0.076;-0.064;-0.042;-0.009;0.037;0.097;0.17;0.251;0.334;0.412;0.476;0.522;0.545;0.545;
-0.011;-0.012;-0.014;-0.018;-0.024;-0.031;-0.039;-0.046;-0.053;-0.058;-0.059;-0.055;-0.045;-0.028;-0.001;0.034;0.08;0.133;0.192;0.252;0.308;0.355;0.388;0.406;0.406;
-0.009;-0.01;-0.012;-0.015;-0.019;-0.024;-0.03;-0.035;-0.04;-0.043;-0.044;-0.04;-0.032;-0.018;0.002;0.029;0.064;0.103;0.147;0.19;0.231;0.265;0.29;0.303;0.303;
-0.007;-0.008;-0.01;-0.012;-0.015;-0.019;-0.023;-0.028;-0.031;-0.033;-0.033;-0.03;-0.024;-0.013;0.003;0.024;0.05;0.08;0.113;0.146;0.176;0.202;0.22;0.23;0.23;
-0.006;-0.007;-0.008;-0.01;-0.013;-0.016;-0.019;-0.022;-0.025;-0.027;-0.027;-0.024;-0.019;-0.01;0.003;0.02;0.041;0.065;0.091;0.117;0.141;0.161;0.176;0.183;0.183;
-0.005;-0.006;-0.007;-0.009;-0.011;-0.014;-0.017;-0.02;-0.022;-0.024;-0.023;-0.021;-0.016;-0.008;0.003;0.018;0.036;0.057;0.08;0.102;0.123;0.141;0.154;0.161;0.161;
-0.005;-0.006;-0.007;-0.009;-0.011;-0.014;-0.017;-0.02;-0.022;-0.024;-0.023;-0.021;-0.016;-0.008;0.003;0.018;0.036;0.057;0.08;0.102;0.123;0.141;0.154;0.161;0.161;
