0;120;0;60;0;15;0;30;0;35;0;40;0;30
0.1;170;0.1;85;0.1;65;0.1;70;0.1;85;0.1;90;0.1;105
0.2;185;0.2;110;0.2;105;0.2;115;0.2;140;0.2;145;0.15;130
0.3;195;0.3;140;0.3;140;0.3;160;0.3;180;0.3;200;0.2;165
0.4;205;0.4;162;0.4;170;0.4;200;0.4;235;0.4;255;0.25;190
0.5;220;0.5;180;0.5;200;0.5;240;0.5;285;0.5;300;0.3;220
0.7;240;0.6;198;0.6;225;0.6;280;0.55;300;;;0.35;250
0.9;265;0.7;215;0.7;265;0.66;300;;;;;0.4;275
1.2;285;0.8;239;0.8;290;;;;;;;0.44;300
1.5;300;0.9;245;0.84;300;;;;;;;;
;;1;255;;;;;;;;;;
;;1.2;275;;;;;;;;;;
;;1.5;295;;;;;;;;;;
